	Sample.12	Sample.8	Sample.10	Sample.1	Sample.5	Sample.3	Sample.6	Sample.2	Sample.4	Sample.11	Sample.7	Sample.9
gene-1543	0	0	0	1	1	0	1	0	1	1	0	0
gene-1544	1	0	0	0	0	2	1	0	0	0	0	0
gene-1545	0	0	0	0	0	0	0	0	0	0	0	0
gene-1546	3	0	0	0	6	3	0	2	0	0	1	0
gene-1547	0	0	0	1	0	0	0	0	1	0	0	0
gene-1548	0	0	0	0	0	0	0	0	0	0	0	0
gene-1549	0	1	0	0	0	0	0	0	0	0	0	0
gene-1550	0	0	0	0	0	0	0	0	1	0	0	0
gene-1551	0	0	0	1	0	0	1	1	0	0	0	0
gene-1552	0	0	0	0	0	0	0	0	0	0	0	0
gene-1553	0	0	0	0	0	0	0	0	0	0	0	0
gene-1554	0	4	1	43	9	3	12	7	3	5	5	7
gene-1555	0	0	0	0	0	0	0	0	0	0	0	0
gene-1556	0	0	0	0	0	1	1	0	1	0	0	0
gene-1557	1	0	0	0	1	0	0	0	0	0	0	0
gene-1558	0	0	0	0	0	0	0	0	0	0	0	0
gene-1559	0	0	0	0	0	0	0	0	0	0	0	0
gene-1560	0	0	0	1	0	0	0	0	0	0	0	1
gene-1561	0	0	0	0	0	0	0	0	0	0	0	0
gene-1562	1	0	0	0	2	0	0	0	0	0	0	1
gene-1563	2	0	0	0	0	0	0	0	0	0	0	0
gene-1564	0	0	0	0	0	0	2	1	0	0	0	0
gene-1565	0	0	0	1	0	0	0	0	0	0	0	0
gene-1566	2	0	0	1	5	1	7	0	0	0	0	1
gene-1567	0	0	0	0	0	0	0	0	0	0	0	0
gene-1568	0	0	0	0	0	0	0	0	0	0	0	0
gene-1569	2	2	2	7	11	8	14	5	6	2	3	9
gene-1570	0	0	0	0	0	0	0	0	0	1	0	0
gene-1571	0	0	0	0	0	0	0	0	0	0	0	0
gene-1572	0	0	0	0	0	1	0	0	0	0	0	0
gene-1573	0	0	0	1	0	0	3	1	0	0	1	0
gene-1574	0	0	0	0	0	3	2	2	4	0	0	0
gene-1575	0	0	0	2	0	1	0	0	1	0	0	0
gene-1576	0	0	0	1	0	0	0	0	0	0	0	0
gene-1577	0	0	0	0	0	0	0	0	0	0	0	0
gene-1578	0	0	0	0	0	0	0	0	0	0	0	0
gene-1579	0	0	0	0	0	0	0	0	0	0	0	0
gene-1580	0	0	0	0	0	0	0	0	0	0	0	0
gene-1581	0	0	0	1	0	0	0	0	0	0	0	0
gene-1582	0	0	0	0	0	0	1	0	0	0	0	0
gene-1583	0	0	0	1	1	0	0	0	1	0	0	0
gene-1584	0	0	0	0	0	0	0	0	0	0	0	0
gene-1585	0	0	0	0	0	0	0	0	0	0	0	0
gene-1586	0	0	0	0	0	0	0	0	0	0	0	0
gene-1587	0	0	0	0	0	0	0	0	0	0	0	0
gene-1588	0	0	0	0	0	0	0	0	0	0	0	0
gene-1589	1	0	0	0	0	2	2	1	0	0	0	0
gene-1590	0	0	0	0	0	0	0	0	0	0	0	0
gene-1591	0	0	0	0	0	0	0	0	0	0	0	0
